client,total_sites,attribute,total_sites_using,pct_sites_using
desktop,5430532,data-lazy-sizes,122234,0.022508660293319327
desktop,5430532,data-label,122204,0.022503135972681866
desktop,5430532,aria-checked,122147,0.022492639763470688
desktop,5430532,bgcolor,121950,0.022456363391284685
mobile,7940685,data-section-type,178202,0.022441640740062097
desktop,5430532,fill-opacity,121759,0.022421191883226173
mobile,7940685,data-minify,177503,0.022353613069905177
mobile,7940685,data-lazy-srcset,176676,0.022249465883610795
mobile,7940685,data-ll-status,176526,0.02223057582563721
desktop,5430532,gradientUnits,119799,0.02206026960157863
mobile,7940685,data-idcheck,174671,0.021996968775363838
mobile,7940685,data-sba,174474,0.021972159832558527
mobile,7940685,data-originalindex,174424,0.02196586314656733
mobile,7940685,data-origindex,174423,0.021965737212847506
mobile,7940685,data-scroll-based,174408,0.02196384820705015
mobile,7940685,data-image,171950,0.021654303123722952
mobile,7940685,aria-level,171919,0.02165039917840841
desktop,5430532,data-y,117387,0.021616114222326652
desktop,5430532,clip-path,117232,0.021587571899033098
desktop,5430532,data-smartmenus-id,117116,0.02156621119256824
desktop,5430532,data-theme,116460,0.021445412714629065
mobile,7940685,data-link,169239,0.021312896809280307
desktop,5430532,data-slide-index,115501,0.021268818598251516
mobile,7940685,data-lazy-sizes,167895,0.02114364188983696
desktop,5430532,data-environment,114750,0.021130526438293707
mobile,7940685,data-slotamount,167319,0.021071104067218384
mobile,7940685,data-position,167252,0.02106266650799018
desktop,5430532,data-position,113767,0.020949512865406188
desktop,5430532,data-requiremodule,113622,0.02092281198232512
mobile,7940685,data-masterspeed,165871,0.020888752040913346
desktop,5430532,data-requirecontext,113229,0.02085044338197436
mobile,7940685,gradientUnits,165344,0.02082238497056614
desktop,5430532,data-lang,112885,0.020787097838664795
mobile,7940685,stdDeviation,164696,0.02074077992012024
mobile,7940685,data-tabs,164275,0.02068776182407437
mobile,7940685,data-src-rs-ref,163081,0.02053739696260461
mobile,7940685,data-sitekey,163034,0.020531478077772888
desktop,5430532,mask,111408,0.020515117119280394
